asset_id,source_system,asset_type,technical_name,source_ref,field_count,nullable_field_count,non_nullable_field_count,numeric_field_count,date_field_count,text_field_count,large_text_field_count,avg_data_length,max_data_length,row_count,size_bytes,size_mb,has_profile_data,label_raw,label_normalized
1005238,oracle,oracle_table,SYSADM.PS_AM_BI_DRIVER8,PS_AM_BI_DRIVER8,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005239,oracle,oracle_table,SYSADM.PS_AM_BI_HDR,PS_AM_BI_HDR,96,3,93,5,3,88,0,13.78125,70.0,0.0,0.0,0.0,VRAI,Finance,Finance
1005240,oracle,oracle_table,SYSADM.PS_AM_BI_HDR1,PS_AM_BI_HDR1,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005241,oracle,oracle_table,SYSADM.PS_AM_BI_HDR2,PS_AM_BI_HDR2,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005242,oracle,oracle_table,SYSADM.PS_AM_BI_HDR3,PS_AM_BI_HDR3,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005243,oracle,oracle_table,SYSADM.PS_AM_BI_HDR4,PS_AM_BI_HDR4,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005244,oracle,oracle_table,SYSADM.PS_AM_BI_HDR5,PS_AM_BI_HDR5,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005245,oracle,oracle_table,SYSADM.PS_AM_BI_HDR6,PS_AM_BI_HDR6,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005246,oracle,oracle_table,SYSADM.PS_AM_BI_HDR7,PS_AM_BI_HDR7,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005247,oracle,oracle_table,SYSADM.PS_AM_BI_HDR8,PS_AM_BI_HDR8,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005248,oracle,oracle_table,SYSADM.PS_AM_BI_INTFC_AET,PS_AM_BI_INTFC_AET,90,4,86,22,4,64,0,10.088888888888889,40.0,0.0,0.0,0.0,VRAI,Finance,Finance
1005249,oracle,oracle_table,SYSADM.PS_AMBI_INTFC_BILL,PS_AMBI_INTFC_BILL,20,1,19,4,1,15,0,21.7,254.0,5.0,405.0,0.0003862380981445,VRAI,Finance,Finance
1005250,oracle,oracle_table,SYSADM.PS_AMBI_INTFC_PROC,PS_AMBI_INTFC_PROC,9,0,9,1,0,8,0,12.333333333333332,30.0,1.0,55.0,5.24520874023e-05,VRAI,Finance,Finance
1005251,oracle,oracle_table,SYSADM.PS_AM_BI_NOTE,PS_AM_BI_NOTE,7,0,7,4,0,3,0,41.14285714285714,254.0,0.0,0.0,0.0,VRAI,Finance,Finance
1005252,oracle,oracle_table,SYSADM.PS_AM_BI_NOTE1,PS_AM_BI_NOTE1,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005253,oracle,oracle_table,SYSADM.PS_AM_BI_NOTE2,PS_AM_BI_NOTE2,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005254,oracle,oracle_table,SYSADM.PS_AM_BI_NOTE3,PS_AM_BI_NOTE3,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005255,oracle,oracle_table,SYSADM.PS_AM_BI_NOTE4,PS_AM_BI_NOTE4,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005256,oracle,oracle_table,SYSADM.PS_AM_BI_NOTE5,PS_AM_BI_NOTE5,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005257,oracle,oracle_table,SYSADM.PS_AM_BI_NOTE6,PS_AM_BI_NOTE6,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005258,oracle,oracle_table,SYSADM.PS_AM_BI_NOTE7,PS_AM_BI_NOTE7,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
